788697	1918012	1927
2128209	1414724	1923
41403	512437	1922
2093801	684238	1921
1737652	787118	1921
1916141	2533240	1919
2128209	2311962	1915
1810374	586157	1915
148306	1182246	1915
1109909	71726	1913
788697	1114458	1908
1109909	2269049	1907
788697	1585536	1905
2115805	2365731	1904
1380912	268079	1898
2174968	1103465	1897
897723	73278	1896
1445641	2107793	1894
1411195	268079	1893
755289	240106	1892
2316789	986325	1892
830322	2361357	1892
49030	818835	1892
2174968	465930	1891
440424	1993459	1886
1174675	124850	1881
2043879	2345245	1880
1372232	268483	1879
128786	626727	1879
1630279	187337	1878
2174968	1324864	1873
41403	894028	1871
1817044	32595	1868
2128209	748402	1866
2287339	42872	1866
121178	1688785	1862
788135	1189549	1860
41403	1489258	1857
1174675	732208	1856
2043879	1396430	1855
440424	409907	1849
1411195	409600	1847
849341	342464	1846
2153588	1399072	1843
440424	2130699	1841
1936109	2471757	1836
1176315	454225	1836
1109909	822524	1835
202690	849341	1835
556593	66805	1834
1676336	66805	1834
704335	1168734	1833
999953	2297942	1828
384704	1711886	1826
2174968	576225	1822
41403	2465343	1820
547681	2533437	1820
1174675	903454	1817
752410	1176133	1815
2155586	831220	1814
2348579	363160	1812
683594	268483	1808
424379	1658996	1806
279236	1985250	1805
1380912	2308130	1805
522494	1772088	1801
987700	601605	1800
1661635	1796705	1798
1239215	134511	1797
701796	454225	1794
49030	2232548	1793
1411195	1737954	1790
788697	764964	1788
599582	1446335	1787
815688	1398614	1785
580868	903454	1785
1399319	1868620	1784
788135	1639067	1783
788697	2118288	1781
966114	2109372	1781
440424	1538414	1780
1398235	121178	1777
2174968	78593	1775
1702115	1496141	1774
2242417	604720	1770
2242417	2485163	1767
2155586	1039977	1767
788697	601605	1764
1399319	2444262	1764
849341	897017	1759
897723	1414601	1757
1109909	701187	1756
95809	1753866	1756
2434548	330911	1754
1380912	393058	1751
2242417	2479310	1751
788135	1087300	1750
64429	2249580	1750
64429	2119540	1750
2021311	722172	1747
849341	1609864	1745
1039146	747720	1743
1918012	376386	1742
2242417	2066972	1741
622444	839964	1737
897723	138690	1732
267159	1538414	1730
2434548	1274085	1724
2062932	1839637	1724
121178	2280060	1722
804915	180379	1719
599582	454225	1718
460348	1060998	1718
788697	1143273	1716
2128209	80329	1710
1918012	1171819	1708
396477	818462	1708
879577	250506	1705
713430	1985141	1705
788697	1468604	1704
1131326	1040409	1702
2281303	1573642	1702
993765	377631	1700
1828893	582641	1698
1432846	493482	1698
788697	175078	1695
993765	142559	1694
738565	454225	1692
1627976	265742	1692
1174675	1806496	1691
1393919	977142	1691
525820	297346	1689
2021311	986325	1688
744693	1256810	1681
2424523	1187958	1681
2174968	1351879	1678
544215	1071294	1678
1883774	1057876	1677
2210380	142682	1676
460348	1588099	1676
2242417	21524	1672
2050947	504731	1672
2435447	2356781	1671
2242417	505132	1670
622444	675878	1667
80329	1173831	1665
752410	2139502	1665
788697	2317569	1661
1524801	93409	1661
460348	989818	1657
2242417	364044	1653
989042	2434548	1647
1176315	2313944	1646
2054499	2159974	1645
623369	2118425	1636
788697	1986108	1636
599582	2108170	1636
1116190	903454	1635
2174968	1601222	1629
41403	2111473	1627
788697	1112648	1624
1557423	1064677	1624
1174675	502427	1623
2093801	1840618	1623
2043879	697367	1621
941347	1864308	1621
1585167	300492	1618
460348	1005803	1615
788697	682138	1614
1109909	2181659	1613
1936109	258214	1613
517087	1380018	1613
2043879	2337469	1610
752410	1521900	1610
1501125	866489	1609
2434548	334887	1607
2425040	1036816	1607
1380912	1586584	1606
623369	1841788	1605
110906	1878775	1603
110906	704909	1603
788697	1371107	1596
2419683	897723	1596
788697	2123532	1594
41403	1039977	1592
1501125	2393357	1591
879577	132957	1590
522494	2137911	1589
733091	606649	1588
1719568	582641	1587
384704	1664295	1584
833620	206005	1582
474042	1713456	1580
2088716	2535630	1578
1509778	2471757	1577
580617	66805	1573
788697	801795	1571
1176315	1687989	1569
1411195	1363638	1569
2155586	1470775	1568
1597153	493055	1567
596186	166356	1565
788697	2113628	1564
522494	2312531	1562
22343	658561	1562
1380912	930845	1561
849341	276779	1557
148306	1102425	1557
788697	1282214	1554
704335	493482	1553
2021311	1366351	1552
384704	595697	1550
